name,category
Abrade,Burn|Burn creature|Cycle|Cycle hou modal spell|Removal|Removal artifact|Removal burn|Removal creature|Removal destroy|Single target instant/sorcery|Spot removal
Absolute Virtue,Damage prevention|Evasion|Gives evasion|Gives protection|Hate|Hate aura|Hate counterspell|Hate target|Pillowfort|Unique protection
Academy Ruins,Cycle|Cycle colorless land|Cycle land|Cycle restock legendary land|Library manipulation|Recursion|Recursion artifact|Restock artifact|Restock to top|Synergy artifact|Top deck manipulation
Accursed Duneyard,Protects creature|Regenerates other|Typal creature|Typal shade|Typal skeleton|Typal specter|Typal spirit|Typal vampire|Typal wraith|Typal zombie
Ace's Baseball Bat,Alternate equip cost|Combat manipulation|Force blocker|Hate typal dalek|Lure limited|Namesake spell|Synergy attacker|Synergy legendary
Acidic Soil,Burn|Burn player|Burn player each|Group slug|Usg storyline in cards
Ad Nauseam,Burst draw|Card advantage|Draw|Hand positive|Life for cards|Life payment
"Adagia, Windswept Bastion",Copy|Copy artifact|Copy enchantment|Cycle|Cycle eoe planet|Cycle land|Cycle mono land|Power matters|Tap fuel creature|Tap outlet
Adaptive Automaton,Anthem|Power boost to all|Typal choose|Typal creature
Adarkar Wastes,Cycle|Cycle dual land|Cycle ice painland|Cycle land|Cycle painland|Dual land|Life payment|Mana ability with extra effect
Adventurer's Inn,Lifegain|Triggered ability
Aether Sting,Burn|Burn player|Cast trigger|Cast trigger other|Triggered ability
Aetherflux Reservoir,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cast trigger|Cast trigger you|Life payment|Lifegain|Lifegain matters|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal|Storm count matters|Storm like|Triggered ability
Aettir and Priwen,Lifegain matters
Agadeem's Awakening,Cycle|Cycle land|Cycle mono land|Cycle znr boltland|Life payment|Multiple targets|Reanimate|Reanimate creature|Recursion|Recursion creature|Single target instant/sorcery
Agate Instigator,Burn|Burn player|Copy|Copy self|Creates token of a card|Creaturefall|Group slug|Multiple bodies|Pinger|Triggered ability
Agility,Hate|Hate blocker|Triggered ability
Aid the Fallen,Card advantage|Hand neutral|Hand positive|Multiple targets|Recursion|Recursion creature|Recursion planeswalker|Regrowth creature|Regrowth planeswalker|Single target instant/sorcery
Akki War Paint,
Akoum Hellkite,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cycle|Cycle bfz color landfall|Evasion|Landfall|Lands matter|Mountainfall|Pinger|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal|Self replacement effect|Synergy mountain|Thingfall|Triggered ability
Akoum Refuge,Cycle|Cycle dual land|Cycle land|Cycle zen refugeland|Dual land|Lifegain|Triggered ability
Akoum Warrior,Cycle|Cycle land|Cycle mono land|Cycle znr u mdfc creature
Akroma's Will,Combat trick|Cycle|Cycle cmr will|Gives evasion|Gives flying|Gives indestructible|Gives lifelink|Gives protection|Hate color every|Lifegain|Namesake spell|Protects creature|Synergy commander
Alchemist's Talent,Burn|Burn player|Cast trigger|Cast trigger you|Cycle|Cycle blc talent|Mana spent matters|Mana value matters|Ramp|Synergy treasure|Triggered ability
"Alexios, Deimos of Kosmos",Defector|Gains haste|Namesake spell|Prevent sacrifice|Triggered ability
All Will Be One,Burn|Burn creature|Burn planeswalker|Burn player|Burn with set's mechanic|Counters matter|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal|Spot removal|Triggered ability
All-Out Assault,Anthem|Attack trigger|Cycle|Cycle tdm m clan spell|Delayed triggered ability|Extra combat phase|Extra untap|Power boost to all|Synergy attacker|Triggered ability|Untapper|Untapper creature
Alley Assailant,Drain life|Face up face down effects|Inverted effects|Lifegain|Opponent loses life|Triggered ability|Turn face up trigger self
Alluring Suitor,Attack trigger|Mana sink|Non mana ability mana|Ramp|Synergy attacker|Triggered ability
Alpine Meadow,Cycle|Cycle dual land|Cycle khm snow tapland|Cycle land|Dual land|Nonbasic basic land type
Amalia Benavides Aguirre,Cycle|Cycle lci r two color|Library manipulation|Lifegain matters|Mill|Mill self|Peek|Peek library|Power matters|Power matters self|Pridemate|Removal|Removal creature|Removal destroy|Specific power matters|Surveil|Sweeper|Top deck manipulation|Triggered ability
Ambition's Cost,Burst draw|Card advantage|Draw|Hand positive|Life for cards|Life payment|Pure draw
Ambitious Assault,Cantrip|Card advantage|Counters matter|Draw|Hand neutral|Power boost to all|Pure draw|Synergy aura|Synergy equipment|Synergy modified
